Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621931303570,25/05/2021 08:28:23,1621931299678,8,25/05/2021 16:28:19,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,767x722,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621931327528,25/05/2021 08:28:47,1621931323695,8,25/05/2021 16:28:43,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,23987.710000001243,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621931350898,25/05/2021 08:29:10,1621931347020,8,25/05/2021 16:29:07,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,23310.13499999972,null,,Alif Naqiyuddin,,0,1,0,,,false,,,Name,,
4,1621931351457,25/05/2021 08:29:11,1621931347021,8,25/05/2021 16:29:07,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,23310.13499999972,null,,yes,,0,1,0,,,false,,,Name,,
5,1621931351457,25/05/2021 08:29:11,1621931347021,8,25/05/2021 16:29:07,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,23310.13499999972,null,,null,,0,1,0,,,false,,,Name,,
6,1621931408762,25/05/2021 08:30:08,1621931404859,8,25/05/2021 16:30:04,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,57828.76000000033,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621931463462,25/05/2021 08:31:03,1621931459595,8,25/05/2021 16:30:59,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,54718.174999999974,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621931475156,25/05/2021 08:31:15,1621931471222,8,25/05/2021 16:31:11,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,11608.845000000641,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621931482416,25/05/2021 08:31:22,1621931478532,8,25/05/2021 16:31:18,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,7301.159999999043,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621931492084,25/05/2021 08:31:32,1621931488209,8,25/05/2021 16:31:28,52598,4,task-qc8j,,12996949,,3916504,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,9669.084999999555,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
