Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621766020051,23/05/2021 10:33:40,1621766018814,8,23/05/2021 18:33:38,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,732x691,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621766032581,23/05/2021 10:33:52,1621766031432,8,23/05/2021 18:33:51,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,12580.244999960996,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621766056289,23/05/2021 10:34:16,1621766055156,8,23/05/2021 18:34:15,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,23698.315000045113,null,,Ahmad Azhar Tasnim Bin Mohd Satar,,0,1,0,,,false,,,Name,,
4,1621766056504,23/05/2021 10:34:16,1621766055157,8,23/05/2021 18:34:15,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,23698.315000045113,null,,Yes,1,0,1,0,,,false,,,Name,,
5,1621767077878,23/05/2021 10:51:17,1621767077209,8,23/05/2021 18:51:17,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,1020994.9849999975,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
6,1621767101860,23/05/2021 10:51:41,1621767101737,8,23/05/2021 18:51:41,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
7,1621767105127,23/05/2021 10:51:45,1621767105021,8,23/05/2021 18:51:45,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,3229.7649999381974,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621767106553,23/05/2021 10:51:46,1621767106450,8,23/05/2021 18:51:46,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1416.5700000012293,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621767108079,23/05/2021 10:51:48,1621767107969,8,23/05/2021 18:51:47,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1506.4699999056756,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621767115451,23/05/2021 10:51:55,1621767115300,8,23/05/2021 18:51:55,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,7317.294999957085,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
11,1621767117263,23/05/2021 10:51:57,1621767117154,8,23/05/2021 18:51:57,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,1842.585000093095,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
12,1621767118870,23/05/2021 10:51:58,1621767118761,8,23/05/2021 18:51:58,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,1597.3050000611693,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
13,1621767121604,23/05/2021 10:52:01,1621767121490,8,23/05/2021 18:52:01,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,2716.9299999950454,null,,pattern 1.png,1,0,1,0,,,false,,,Question 7 - b1p1,,
14,1621767122977,23/05/2021 10:52:02,1621767122874,8,23/05/2021 18:52:02,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,1371.4250000193715,null,,pattern 5.png,1,0,1,0,,,false,,,Question 8 - b2p5,,
15,1621767124434,23/05/2021 10:52:04,1621767124315,8,23/05/2021 18:52:04,52598,4,task-qc8j,,12921344,,3899975,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x731,,Military Question,4,Spreadsheet1,Spreadsheet1,12,1,1,Screen 1,Zone1,response_button_image,1429.509999928996,null,,pattern 3.png,1,0,1,0,,,false,,,Question 9 - b4p3,,
