Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621694001299,22/05/2021 14:33:21,1621694000942,8,22/05/2021 22:33:20,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621694006999,22/05/2021 14:33:26,1621694006984,8,22/05/2021 22:33:26,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,5988.83499999647,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621694025454,22/05/2021 14:33:45,1621694025409,8,22/05/2021 22:33:45,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,18374.099999986356,null,,Dzulhadi Bin Hamdan,,0,1,0,,,false,,,Name,,
4,1621694025689,22/05/2021 14:33:45,1621694025411,8,22/05/2021 22:33:45,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,18374.099999986356,null,,Yes,,0,1,0,,,false,,,Name,,
5,1621694025689,22/05/2021 14:33:45,1621694025411,8,22/05/2021 22:33:45,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,18374.099999986356,null,,null,,0,1,0,,,false,,,Name,,
6,1621694032590,22/05/2021 14:33:52,1621694032573,8,22/05/2021 22:33:52,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,7141.585000004852,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621694039064,22/05/2021 14:33:59,1621694039046,8,22/05/2021 22:33:59,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,6446.939999994356,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621694042880,22/05/2021 14:34:02,1621694042834,8,22/05/2021 22:34:02,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,3768.004999990808,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621694045290,22/05/2021 14:34:05,1621694045265,8,22/05/2021 22:34:05,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,2409.6650000137743,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621694050031,22/05/2021 14:34:10,1621694050003,8,22/05/2021 22:34:10,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,4722.26499998942,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
11,1621694052562,22/05/2021 14:34:12,1621694052515,8,22/05/2021 22:34:12,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,2490.460000000894,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
12,1621694055465,22/05/2021 14:34:15,1621694055437,8,22/05/2021 22:34:15,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,2901.5249999938533,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
13,1621694058107,22/05/2021 14:34:18,1621694058056,8,22/05/2021 22:34:18,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,2592.739999992773,null,,pattern 1.png,1,0,1,0,,,false,,,Question 7 - b1p1,,
14,1621694059861,22/05/2021 14:34:19,1621694059837,8,22/05/2021 22:34:19,52598,4,task-qc8j,,12906734,,3897179,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,681x615,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,1760.5800000019372,null,,pattern 5.png,1,0,1,0,,,false,,,Question 8 - b2p5,,
