Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621767809030,23/05/2021 11:03:29,1621767808900,8,23/05/2021 19:03:28,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,767x687,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621767824735,23/05/2021 11:03:44,1621767823954,8,23/05/2021 19:03:43,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,15002.489999984391,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621767842700,23/05/2021 11:04:02,1621767842634,8,23/05/2021 19:04:02,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,18638.770000019576,null,,Megat Muhammad Hilmi Bin Megat Azhar,,0,1,0,,,false,,,Name,,
4,1621767843003,23/05/2021 11:04:03,1621767842636,8,23/05/2021 19:04:02,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,18638.770000019576,null,,Yes,,0,1,0,,,false,,,Name,,
5,1621767843003,23/05/2021 11:04:03,1621767842636,8,23/05/2021 19:04:02,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,18638.770000019576,null,,null,,0,1,0,,,false,,,Name,,
6,1621767890861,23/05/2021 11:04:50,1621767890794,8,23/05/2021 19:04:50,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,48140.84499998717,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621767896634,23/05/2021 11:04:56,1621767896568,8,23/05/2021 19:04:56,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,5752.754999964964,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621767898752,23/05/2021 11:04:58,1621767898672,8,23/05/2021 19:04:58,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,2086.470000038389,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621767900386,23/05/2021 11:05:00,1621767900281,8,23/05/2021 19:05:00,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1586.7799999541603,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621767923771,23/05/2021 11:05:23,1621767923681,8,23/05/2021 19:05:23,52598,4,task-qc8j,,12921956,,3900071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1519x698,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,19170.440000016242,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
