Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1.62192E+12,25/5/2021 6:38,1.62192E+12,8,25/5/2021 14:38,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1.62192E+12,25/5/2021 6:38,1.62192E+12,8,25/5/2021 14:38,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,3674.19,null,,"Yes, I agreed",1,0,1,0,,,FALSE,,,Consent,,
3,1.62192E+12,25/5/2021 6:39,1.62192E+12,8,25/5/2021 14:39,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,51113.665,null,,Soo Xin Yi,,0,1,0,,,FALSE,,,Name,,
4,1.62192E+12,25/5/2021 6:39,1.62192E+12,8,25/5/2021 14:39,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,51113.665,null,,Yes ,,0,1,0,,,FALSE,,,Name,,
5,1.62192E+12,25/5/2021 6:39,1.62192E+12,8,25/5/2021 14:39,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,51113.665,null,,null,,0,1,0,,,FALSE,,,Name,,
6,1.62192E+12,25/5/2021 6:39,1.62192E+12,8,25/5/2021 14:39,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,10272.18,null,,Click here to start experiment,1,0,1,0,,,FALSE,,,Instruction,,
7,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,13765.755,null,,"pattern 1.png
",1,0,1,0,,,FALSE,,,Question 1 - b4q1,,
8,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,3258.41,null,,"pattern 2.png
",1,0,1,0,,,FALSE,,,Question 2 - b2p2,,
9,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,2135.675,null,,pattern 4.png,1,0,1,0,,,FALSE,,,Question 3 - b3p4,,
10,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,9936.635,null,,pattern 5.png,1,0,1,0,,,FALSE,,,Question 4 - b1p5,,
11,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,5868.19,null,,"pattern 2.png
",1,0,1,0,,,FALSE,,,Question 5 - b4p2,,
12,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,2144.005,null,,pattern 3.png,1,0,1,0,,,FALSE,,,Question 6 - b3p3,,
13,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,9066.83,null,,pattern 1.png,1,0,1,0,,,FALSE,,,Question 7 - b1p1,,
14,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,2887.24,null,,pattern 5.png,1,0,1,0,,,FALSE,,,Question 8 - b2p5,,
15,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,12,1,1,Screen 1,Zone1,response_button_image,1522.535,null,,pattern 3.png,1,0,1,0,,,FALSE,,,Question 9 - b4p3,,
16,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,13,1,1,Screen 1,Zone1,response_button_image,2378.555,null,,pattern 2.png,1,0,1,0,,,FALSE,,,Question 10 - b3p2,,
17,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone1,response_button_image,1661.24,null,,pattern 1.png,1,0,1,0,,,FALSE,,,Question 11 - b2p1,,
18,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,response_button_image,950.69,null,,pattern 2.png,1,0,1,0,,,FALSE,,,Question 12 - b1p2,,
19,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,16,1,1,Screen 1,Zone1,response_button_image,1410.115,null,,pattern 4.png,1,0,1,0,,,FALSE,,,Question 13 - b4p4,,
20,1.62192E+12,25/5/2021 6:40,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,response_button_image,978.3099999,null,,pattern 4.png,1,0,1,0,,,FALSE,,,Question 14 - b1p4,,
21,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:40,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,18,1,1,Screen 1,Zone1,response_button_image,2968.155,null,,pattern 4.png,1,0,1,0,,,FALSE,,,Question 15 - b2p4,,
22,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:41,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,Zone1,response_button_image,23489.84,null,,pattern 5.png,1,0,1,0,,,FALSE,,,Question 16 - b3p5,,
23,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:41,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,20,1,1,Screen 1,Zone1,response_button_image,1352.345,null,,pattern 3.png,1,0,1,0,,,FALSE,,,Question 17 - b2p3,,
24,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:41,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,response_button_image,3793.88,null,,pattern 5.png,1,0,1,0,,,FALSE,,,Question 18 - b4p5,,
25,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:41,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,22,1,1,Screen 1,Zone1,response_button_image,5042.745,null,,pattern 1.png,1,0,1,0,,,FALSE,,,Question 19 - b3p1,,
26,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:41,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,response_button_image,1230.455,null,,pattern 3.png,1,0,1,0,,,FALSE,,,Question 20 - b1p3,,
27,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:41,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,Spreadsheet1,24,1,1,Screen 1,advancementZone,response_button_text,4318.885,null,,Click here for end,1,0,1,0,,,FALSE,,,Ending,,
28,1.62192E+12,25/5/2021 6:41,1.62192E+12,8,25/5/2021 14:41,52598,4,task-qc8j,,12994951,,3915978,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x521,,Military Question,4,Spreadsheet1,,,END TASK,,,,,173922,,,,,0,1,0,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
