Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621870914897,24/05/2021 15:41:54,1621870914999,8,24/05/2021 23:41:54,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621870924499,24/05/2021 15:42:04,1621870924091,8,24/05/2021 23:42:04,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,9062.615000002552,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621870934574,24/05/2021 15:42:14,1621870934309,8,24/05/2021 23:42:14,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,10179.099999993923,null,,MUHAMMAD AKMAL IRFAN BIN FAISAL,,0,1,0,,,false,,,Name,,
4,1621870934777,24/05/2021 15:42:14,1621870934311,8,24/05/2021 23:42:14,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,10179.099999993923,null,,YES,,0,1,0,,,false,,,Name,,
5,1621870934777,24/05/2021 15:42:14,1621870934312,8,24/05/2021 23:42:14,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,10179.099999993923,null,,null,,0,1,0,,,false,,,Name,,
6,1621870966076,24/05/2021 15:42:46,1621870965652,8,24/05/2021 23:42:45,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,31315.330000004906,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621870969773,24/05/2021 15:42:49,1621870969679,8,24/05/2021 23:42:49,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,4016.0799999939627,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621870975356,24/05/2021 15:42:55,1621870975475,8,24/05/2021 23:42:55,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,5780.415000001085,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621870981745,24/05/2021 15:43:01,1621870981883,8,24/05/2021 23:43:01,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,6394.105000006675,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621870984487,24/05/2021 15:43:04,1621870984618,8,24/05/2021 23:43:04,52598,4,task-qc8j,,12966454,,3909845,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x754,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,2721.864999999525,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
