Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621934532409,25/05/2021 09:22:12,1621934532265,8,25/05/2021 17:22:12,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621934542223,25/05/2021 09:22:22,1621934541403,8,25/05/2021 17:22:21,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,9057.730000000447,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621934579394,25/05/2021 09:22:59,1621934579319,8,25/05/2021 17:22:59,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,37853.174999996554,null,,Muhammad Amirul Shafiq,,0,1,0,,,false,,,Name,,
4,1621934579743,25/05/2021 09:22:59,1621934579322,8,25/05/2021 17:22:59,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,37853.174999996554,null,,Yes,,0,1,0,,,false,,,Name,,
5,1621934579743,25/05/2021 09:22:59,1621934579322,8,25/05/2021 17:22:59,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,37853.174999996554,null,,null,,0,1,0,,,false,,,Name,,
6,1621934603122,25/05/2021 09:23:23,1621934602401,8,25/05/2021 17:23:22,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,23050.779999990482,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621934609810,25/05/2021 09:23:29,1621934609144,8,25/05/2021 17:23:29,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,6713.690000004135,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621934612390,25/05/2021 09:23:32,1621934612318,8,25/05/2021 17:23:32,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,3150.3300000040326,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621934614015,25/05/2021 09:23:34,1621934613941,8,25/05/2021 17:23:33,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1594.875000009779,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621934619533,25/05/2021 09:23:39,1621934619460,8,25/05/2021 17:23:39,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,2866.7699999932665,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
11,1621934627469,25/05/2021 09:23:47,1621934626809,8,25/05/2021 17:23:46,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,7319.070000026841,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
12,1621934628888,25/05/2021 09:23:48,1621934628815,8,25/05/2021 17:23:48,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,1979.0999999968335,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
13,1621934631627,25/05/2021 09:23:51,1621934631369,8,25/05/2021 17:23:51,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,2525.759999989532,null,,pattern 1.png,1,0,1,0,,,false,,,Question 7 - b1p1,,
14,1621934633186,25/05/2021 09:23:53,1621934633108,8,25/05/2021 17:23:53,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,1710.735000000568,null,,pattern 5.png,1,0,1,0,,,false,,,Question 8 - b2p5,,
15,1621934635255,25/05/2021 09:23:55,1621934634454,8,25/05/2021 17:23:54,52598,4,task-qc8j,,12998367,,3916856,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1366x768,1366x568,,Military Question,4,Spreadsheet1,Spreadsheet1,12,1,1,Screen 1,Zone1,response_button_image,1320.2950000122655,null,,pattern 3.png,1,0,1,0,,,false,,,Question 9 - b4p3,,
