Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621693861874,22/05/2021 14:31:01,1621693861042,8,22/05/2021 22:31:01,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621693867897,22/05/2021 14:31:07,1621693867073,8,22/05/2021 22:31:07,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,6007.1699999971315,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621693885989,22/05/2021 14:31:25,1621693885191,8,22/05/2021 22:31:25,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,18100.780000007944,null,,Muhammad Adham Bin Aswan,,0,1,0,,,false,,,Name,,
4,1621693886542,22/05/2021 14:31:26,1621693885192,8,22/05/2021 22:31:25,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,18100.780000007944,null,,No,,0,1,0,,,false,,,Name,,
5,1621693886542,22/05/2021 14:31:26,1621693885192,8,22/05/2021 22:31:25,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,18100.780000007944,null,,null,,0,1,0,,,false,,,Name,,
6,1621693921034,22/05/2021 14:32:01,1621693920258,8,22/05/2021 22:32:00,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,35058.32999999984,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621693925135,22/05/2021 14:32:05,1621693924342,8,22/05/2021 22:32:04,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,4073.594999994384,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621693927154,22/05/2021 14:32:07,1621693926387,8,22/05/2021 22:32:06,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,2037.1850000228733,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621693930239,22/05/2021 14:32:10,1621693929476,8,22/05/2021 22:32:09,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,2021.6200000140816,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621693940248,22/05/2021 14:32:20,1621693939482,8,22/05/2021 22:32:19,52598,4,task-qc8j,,12906678,,3897168,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1536x864,1536x763,,Military Question,4,Spreadsheet1,,,,,,,,LOADING DELAY,,,A loading delay of more than 10s was detected.,,0,1,0,,,,,,,,
