Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621692356667,22/05/2021 14:05:56,1621692356589,8,22/05/2021 22:05:56,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621692371810,22/05/2021 14:06:11,1621692371785,8,22/05/2021 22:06:11,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,15130.925000000389,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621692406630,22/05/2021 14:06:46,1621692406615,8,22/05/2021 22:06:46,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,34800.3749999998,null,,,,0,1,0,,,false,,,Name,,
4,1621692406896,22/05/2021 14:06:46,1621692406618,8,22/05/2021 22:06:46,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,34800.3749999998,null,,No,,0,1,0,,,false,,,Name,,
5,1621692406896,22/05/2021 14:06:46,1621692406618,8,22/05/2021 22:06:46,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,34800.3749999998,null,,null,,0,1,0,,,false,,,Name,,
6,1621692433707,22/05/2021 14:07:13,1621692433683,8,22/05/2021 22:07:13,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,27044.78999999992,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621692436534,22/05/2021 14:07:16,1621692436506,8,22/05/2021 22:07:16,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,2802.8249999997643,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621692437885,22/05/2021 14:07:17,1621692437879,8,22/05/2021 22:07:17,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1353.9250000003522,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621692439238,22/05/2021 14:07:19,1621692439237,8,22/05/2021 22:07:19,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1340.4399999999441,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621692447670,22/05/2021 14:07:27,1621692447668,8,22/05/2021 22:07:27,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,8413.400000000358,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
11,1621692450618,22/05/2021 14:07:30,1621692450606,8,22/05/2021 22:07:30,52598,4,task-qc8j,,12906095,,3897077,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,2918.180000000575,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
