Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621762780967,23/05/2021 09:39:40,1621762779903,8,23/05/2021 17:39:39,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621762801418,23/05/2021 09:40:01,1621762800418,8,23/05/2021 17:40:00,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,20469.590000000608,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621762824106,23/05/2021 09:40:24,1621762823127,8,23/05/2021 17:40:23,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,22676.80499999915,null,,Muhammad Haikal Bin Sharudin,,0,1,0,,,false,,,Name,,
4,1621762824323,23/05/2021 09:40:24,1621762823128,8,23/05/2021 17:40:23,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,22676.80499999915,null,,No,1,0,1,0,,,false,,,Name,,
5,1621762843741,23/05/2021 09:40:43,1621762842763,8,23/05/2021 17:40:42,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,19618.69999999908,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
6,1621762848855,23/05/2021 09:40:48,1621762847880,8,23/05/2021 17:40:47,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,5096.979999998439,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
7,1621762851187,23/05/2021 09:40:51,1621762850193,8,23/05/2021 17:40:50,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,2294.2949999996927,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
8,1621762857947,23/05/2021 09:40:57,1621762856967,8,23/05/2021 17:40:56,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,6756.30000000092,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
9,1621762860458,23/05/2021 09:41:00,1621762859476,8,23/05/2021 17:40:59,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,2491.4199999984703,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
10,1621762862864,23/05/2021 09:41:02,1621762861878,8,23/05/2021 17:41:01,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,2389.970000000176,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
11,1621762864770,23/05/2021 09:41:04,1621762863788,8,23/05/2021 17:41:03,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,1893.5500000006869,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
12,1621762868726,23/05/2021 09:41:08,1621762867750,8,23/05/2021 17:41:07,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,3945.1049999988754,null,,pattern 1.png,1,0,1,0,,,false,,,Question 7 - b1p1,,
13,1621762871120,23/05/2021 09:41:11,1621762870142,8,23/05/2021 17:41:10,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,2374.7000000003027,null,,pattern 5.png,1,0,1,0,,,false,,,Question 8 - b2p5,,
14,1621762873060,23/05/2021 09:41:13,1621762872079,8,23/05/2021 17:41:12,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,12,1,1,Screen 1,Zone1,response_button_image,1919.8150000011083,null,,pattern 3.png,1,0,1,0,,,false,,,Question 9 - b4p3,,
15,1621762874757,23/05/2021 09:41:14,1621762873775,8,23/05/2021 17:41:13,52598,4,task-qc8j,,12920512,,3899826,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,13,1,1,Screen 1,Zone1,response_button_image,1683.4799999996903,null,,pattern 2.png,1,0,1,0,,,false,,,Question 10 - b3p2,,
