Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621691215480,22/05/2021 13:46:55,1621691216407,8,22/05/2021 21:46:56,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621691222522,22/05/2021 13:47:02,1621691223552,8,22/05/2021 21:47:03,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,7105.470000009518,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621691240113,22/05/2021 13:47:20,1621691240989,8,22/05/2021 21:47:20,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,17414.690000005066,null,,Muhammad Afiq Irfan Bin Manor,,0,1,0,,,false,,,Name,,
4,1621691240332,22/05/2021 13:47:20,1621691240991,8,22/05/2021 21:47:20,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,17414.690000005066,null,,No,,0,1,0,,,false,,,Name,,
5,1621691240332,22/05/2021 13:47:20,1621691240991,8,22/05/2021 21:47:20,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,17414.690000005066,null,,null,,0,1,0,,,false,,,Name,,
6,1621691242088,22/05/2021 13:47:22,1621691243108,8,22/05/2021 21:47:23,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,2108.0700000020443,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621691247431,22/05/2021 13:47:27,1621691248460,8,22/05/2021 21:47:28,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,5341.440000003786,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621691248353,22/05/2021 13:47:28,1621691249364,8,22/05/2021 21:47:29,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,896.2549999996554,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621691249217,22/05/2021 13:47:29,1621691250236,8,22/05/2021 21:47:30,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,863.4299999976065,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621691256243,22/05/2021 13:47:36,1621691257261,8,22/05/2021 21:47:37,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,6769.2149999929825,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
11,1621691258450,22/05/2021 13:47:38,1621691259468,8,22/05/2021 21:47:39,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,2198.304999998072,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
12,1621691259325,22/05/2021 13:47:39,1621691260339,8,22/05/2021 21:47:40,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,862.1249999996508,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
13,1621691262066,22/05/2021 13:47:42,1621691263085,8,22/05/2021 21:47:43,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,2736.1799999926006,null,,pattern 1.png,1,0,1,0,,,false,,,Question 7 - b1p1,,
14,1621691262816,22/05/2021 13:47:42,1621691263836,8,22/05/2021 21:47:43,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,740.5100000032689,null,,pattern 5.png,1,0,1,0,,,false,,,Question 8 - b2p5,,
15,1621691264453,22/05/2021 13:47:44,1621691265467,8,22/05/2021 21:47:45,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,12,1,1,Screen 1,Zone1,response_button_image,1622.5350000022445,null,,pattern 3.png,1,0,1,0,,,false,,,Question 9 - b4p3,,
16,1621691265125,22/05/2021 13:47:45,1621691266156,8,22/05/2021 21:47:46,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,13,1,1,Screen 1,Zone1,response_button_image,680.1399999967543,null,,pattern 2.png,1,0,1,0,,,false,,,Question 10 - b3p2,,
17,1621691265940,22/05/2021 13:47:45,1621691266964,8,22/05/2021 21:47:46,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,14,1,1,Screen 1,Zone1,response_button_image,800.2449999912642,null,,pattern 1.png,1,0,1,0,,,false,,,Question 11 - b2p1,,
18,1621691266831,22/05/2021 13:47:46,1621691267859,8,22/05/2021 21:47:47,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,15,1,1,Screen 1,Zone1,response_button_image,887.7449999999953,null,,pattern 2.png,1,0,1,0,,,false,,,Question 12 - b1p2,,
19,1621691268128,22/05/2021 13:47:48,1621691269156,8,22/05/2021 21:47:49,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,16,1,1,Screen 1,Zone1,response_button_image,1285.8950000081677,null,,pattern 4.png,1,0,1,0,,,false,,,Question 13 - b4p4,,
20,1621691268824,22/05/2021 13:47:48,1621691269852,8,22/05/2021 21:47:49,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,17,1,1,Screen 1,Zone1,response_button_image,688.6499999964144,null,,pattern 4.png,1,0,1,0,,,false,,,Question 14 - b1p4,,
21,1621691269860,22/05/2021 13:47:49,1621691270892,8,22/05/2021 21:47:50,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,18,1,1,Screen 1,Zone1,response_button_image,1032.2899999882793,null,,pattern 4.png,1,0,1,0,,,false,,,Question 15 - b2p4,,
22,1621691270784,22/05/2021 13:47:50,1621691271812,8,22/05/2021 21:47:51,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,Zone1,response_button_image,906.6200000088429,null,,pattern 5.png,1,0,1,0,,,false,,,Question 16 - b3p5,,
23,1621691271783,22/05/2021 13:47:51,1621691272811,8,22/05/2021 21:47:52,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,20,1,1,Screen 1,Zone1,response_button_image,990.7249999960186,null,,pattern 3.png,1,0,1,0,,,false,,,Question 17 - b2p3,,
24,1621691273596,22/05/2021 13:47:53,1621691274611,8,22/05/2021 21:47:54,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,response_button_image,1792.0949999970617,null,,pattern 5.png,1,0,1,0,,,false,,,Question 18 - b4p5,,
25,1621691274464,22/05/2021 13:47:54,1621691275476,8,22/05/2021 21:47:55,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,22,1,1,Screen 1,Zone1,response_button_image,855.9499999973923,null,,pattern 1.png,1,0,1,0,,,false,,,Question 19 - b3p1,,
26,1621691275170,22/05/2021 13:47:55,1621691276187,8,22/05/2021 21:47:56,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,response_button_image,705.3100000048289,null,,pattern 3.png,1,0,1,0,,,false,,,Question 20 - b1p3,,
27,1621691281113,22/05/2021 13:48:01,1621691282132,8,22/05/2021 21:48:02,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,Spreadsheet1,24,1,1,Screen 1,advancementZone,response_button_text,5938.920000000508,null,,Click here for end,1,0,1,0,,,false,,,Ending,,
28,1621691281309,22/05/2021 13:48:01,1621691282135,8,22/05/2021 21:48:02,52598,4,task-qc8j,,12905686,,3897002,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 76.0.4017.123,1680x1050,1640x909,,Military Question,4,Spreadsheet1,,,END TASK,,,,,65728,,,,,0,1,0,,,,,,,,
