Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621774085429,23/05/2021 12:48:05,1621774085621,8,23/05/2021 20:48:05,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621774093820,23/05/2021 12:48:13,1621774093494,8,23/05/2021 20:48:13,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,7841.930000009597,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621774112986,23/05/2021 12:48:32,1621774112333,8,23/05/2021 20:48:32,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,18819.85500000883,null,,Muhammad Azhan Farhan Bin Idris,,0,1,0,,,false,,,Name,,
4,1621774113443,23/05/2021 12:48:33,1621774112334,8,23/05/2021 20:48:32,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,18819.85500000883,null,,No,,0,1,0,,,false,,,Name,,
5,1621774113443,23/05/2021 12:48:33,1621774112334,8,23/05/2021 20:48:32,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,18819.85500000883,null,,null,,0,1,0,,,false,,,Name,,
6,1621774125479,23/05/2021 12:48:45,1621774125305,8,23/05/2021 20:48:45,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,12954.125000003842,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621774129377,23/05/2021 12:48:49,1621774128981,8,23/05/2021 20:48:48,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,3662.7949999965494,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621774130363,23/05/2021 12:48:50,1621774130634,8,23/05/2021 20:48:50,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1644.7800000023562,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621774131612,23/05/2021 12:48:51,1621774131955,8,23/05/2021 20:48:51,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1309.9399999919115,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621774158292,23/05/2021 12:49:18,1621774157621,8,23/05/2021 20:49:17,52598,4,task-qc8j,,12923817,,3900403,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1280x720,1280x648,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,18752.800000002026,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
