Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621739113520,23/05/2021 03:05:13,1621739112240,8,23/05/2021 11:05:12,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621739122082,23/05/2021 03:05:22,1621739120833,8,23/05/2021 11:05:20,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,8556.070000000545,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621739157183,23/05/2021 03:05:57,1621739155946,8,23/05/2021 11:05:55,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,35088.45499999916,null,,Wan Arief Hakemi ,,0,1,0,,,false,,,Name,,
4,1621739157387,23/05/2021 03:05:57,1621739155948,8,23/05/2021 11:05:55,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,35088.45499999916,null,,No,,0,1,0,,,false,,,Name,,
5,1621739157387,23/05/2021 03:05:57,1621739155948,8,23/05/2021 11:05:55,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,35088.45499999916,null,,null,,0,1,0,,,false,,,Name,,
6,1621739179405,23/05/2021 03:06:19,1621739178200,8,23/05/2021 11:06:18,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,22237.270000000535,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621739181960,23/05/2021 03:06:21,1621739180696,8,23/05/2021 11:06:20,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,2483.255000000092,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621739183763,23/05/2021 03:06:23,1621739182562,8,23/05/2021 11:06:22,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1852.6700000002165,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621739186403,23/05/2021 03:06:26,1621739185194,8,23/05/2021 11:06:25,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,2620.409999999538,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621739199325,23/05/2021 03:06:39,1621739198109,8,23/05/2021 11:06:38,52598,4,task-qc8j,,12917291,,3899125,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1536x722,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,12902.974999999962,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
