Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621696253621,22/05/2021 15:10:53,1621696253248,8,22/05/2021 23:10:53,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621696254683,22/05/2021 15:10:54,1621696254366,8,22/05/2021 23:10:54,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,1082.2049999997034,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621696262624,22/05/2021 15:11:02,1621696262295,8,22/05/2021 23:11:02,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,7913.160000000062,null,,Muhammad Azfar Haikal bin Marhan Haizul,,0,1,0,,,false,,,Name,,
4,1621696262861,22/05/2021 15:11:02,1621696262296,8,22/05/2021 23:11:02,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,7913.160000000062,null,,no,1,0,1,0,,,false,,,Name,,
5,1621696281100,22/05/2021 15:11:21,1621696280804,8,22/05/2021 23:11:20,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,18496.63999999939,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
6,1621696284427,22/05/2021 15:11:24,1621696284126,8,22/05/2021 23:11:24,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,3310.11000000035,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
7,1621696285603,22/05/2021 15:11:25,1621696285301,8,22/05/2021 23:11:25,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1164.480000000367,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
8,1621696286932,22/05/2021 15:11:26,1621696286629,8,22/05/2021 23:11:26,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1317.2750000003361,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
9,1621696293562,22/05/2021 15:11:33,1621696293270,8,22/05/2021 23:11:33,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,6629.500000000007,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
10,1621696295988,22/05/2021 15:11:35,1621696295685,8,22/05/2021 23:11:35,52598,4,task-qc8j,,12907446,,3897311,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 90.0.818.66,1920x1080,1920x969,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,2404.230000000098,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
