Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,TimedSection,ANSWER
1,1621706870117,22/05/2021 18:07:50,1621706869450,8,23/05/2021 02:07:49,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1621706873973,22/05/2021 18:07:53,1621706873349,8,23/05/2021 02:07:53,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,response_button_text,3859.709999996994,null,,"Yes, I agreed",1,0,1,0,,,false,,,Consent,,
3,1621706886968,22/05/2021 18:08:06,1621706886350,8,23/05/2021 02:08:06,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,response_text_entry,12966.515000000072,null,,AZIZUL,,0,1,0,,,false,,,Name,,
4,1621706887171,22/05/2021 18:08:07,1621706886352,8,23/05/2021 02:08:06,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_text_entry,12966.515000000072,null,,NO,,0,1,0,,,false,,,Name,,
5,1621706887171,22/05/2021 18:08:07,1621706886352,8,23/05/2021 02:08:06,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,continue_button,12966.515000000072,null,,null,,0,1,0,,,false,,,Name,,
6,1621706898924,22/05/2021 18:08:18,1621706898308,8,23/05/2021 02:08:18,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,response_button_text,11942.725000000792,null,,Click here to start experiment,1,0,1,0,,,false,,,Instruction,,
7,1621706901329,22/05/2021 18:08:21,1621706900698,8,23/05/2021 02:08:20,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_button_image,2371.914999996079,null,,"pattern 1.png
",1,0,1,0,,,false,,,Question 1 - b4q1,,
8,1621706902561,22/05/2021 18:08:22,1621706901947,8,23/05/2021 02:08:21,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_button_image,1236.7599999997765,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 2 - b2p2,,
9,1621706904374,22/05/2021 18:08:24,1621706903767,8,23/05/2021 02:08:23,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone1,response_button_image,1801.0149999972782,null,,pattern 4.png,1,0,1,0,,,false,,,Question 3 - b3p4,,
10,1621706911096,22/05/2021 18:08:31,1621706910486,8,23/05/2021 02:08:30,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,Zone1,response_button_image,6710.409999999683,null,,pattern 5.png,1,0,1,0,,,false,,,Question 4 - b1p5,,
11,1621706912802,22/05/2021 18:08:32,1621706912193,8,23/05/2021 02:08:32,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,8,1,1,Screen 1,Zone1,response_button_image,1696.5149999959976,null,,"pattern 2.png
",1,0,1,0,,,false,,,Question 5 - b4p2,,
12,1621706914403,22/05/2021 18:08:34,1621706913784,8,23/05/2021 02:08:33,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,9,1,1,Screen 1,Zone1,response_button_image,1579.250000002503,null,,pattern 3.png,1,0,1,0,,,false,,,Question 6 - b3p3,,
13,1621706919789,22/05/2021 18:08:39,1621706919184,8,23/05/2021 02:08:39,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,10,1,1,Screen 1,Pattern,response_button_image,5387.949999996636,null,,pattern 1.png,1,0,1,0,,,false,,,Question 7 - b1p1,,
14,1621706920764,22/05/2021 18:08:40,1621706920159,8,23/05/2021 02:08:40,52598,4,task-qc8j,,12911519,,3898060,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1536x864,1920x954,,Military Question,4,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone1,response_button_image,966.2549999993644,null,,pattern 5.png,1,0,1,0,,,false,,,Question 8 - b2p5,,
